id (DMA),year,month,week,after,close, sales 
1,2011,4,17,0,1,18564.00
1,2011,4,18,0,1,30883.00
1,2011,5,19,0,1,37425.00
1,2011,5,20,0,1,32563.00
1,2011,5,21,0,1,35773.00
1,2011,5,22,0,1,33142.00
1,2011,5,23,0,1,31752.00
1,2011,6,24,0,1,44807.00
1,2011,6,25,0,1,31873.00
1,2011,6,26,0,1,31290.00
1,2011,6,27,0,1,18165.00
1,2011,7,28,0,1,24031.00
1,2011,7,29,0,1,16518.00
1,2011,7,30,0,1,6845.00
1,2011,7,31,0,1,11946.00
1,2011,8,32,0,1,20217.00
1,2011,8,33,0,1,19117.00
1,2011,8,34,0,1,15089.00
1,2011,8,35,0,1,11507.00
1,2011,8,36,0,1,27765.00
1,2011,9,37,0,1,26113.00
1,2011,9,38,0,1,19311.00
1,2011,9,39,0,1,14742.00
1,2011,9,40,0,1,31951.00
1,2011,10,41,0,1,18089.00
1,2011,10,42,0,1,40563.00
1,2011,10,43,1,1,26997.00
1,2011,10,44,1,1,27522.00
1,2011,10,45,1,1,19164.00
1,2011,11,46,1,1,16667.00
1,2011,11,47,1,1,39513.00
1,2011,11,48,1,1,22378.00
1,2011,11,49,1,1,69086.00
1,2011,12,50,1,1,27563.00
1,2011,12,51,1,1,20592.00
1,2011,12,52,1,1,27297.00
1,2011,12,53,1,1,12993.00
1,2012,1,1,1,1,17913.00
1,2012,1,2,1,1,16275.00
1,2012,1,3,1,1,6721.00
1,2012,1,4,1,1,17295.00
1,2012,1,5,1,1,11948.00
1,2012,1,6,1,1,21471.00
1,2012,2,7,1,1,23376.00
1,2012,2,8,1,1,16399.00
1,2012,2,9,1,1,28410.00
1,2012,2,10,1,1,18620.00
1,2012,3,11,1,1,10191.00
1,2012,3,12,1,1,13472.00
1,2012,3,13,1,1,9424.00
1,2012,3,14,1,1,10010.00
2,2011,4,17,0,0,86333.00
2,2011,4,18,0,0,57385.00
2,2011,5,19,0,0,109949.00
2,2011,5,20,0,0,72000.00
